,AQI,PM10,PM2_5,NO2,SO2,O3,temperature,humidity,wind_speed,respiratory_cases,cardiovascular_cases,hospital_admissions,health_impact_score,health_impact_class
5172,10,107,67,195,29,131,13,66,7,6,7,5,60,1
5173,17,89,29,165,15,65,12,78,1,9,6,5,43,2
5209,90,210,5,42,19,18,24,58,3,11,8,3,54,2
5225,28,182,132,23,10,79,13,28,7,9,11,2,63,1
5235,3,12,6,34,7,247,26,89,1,9,4,4,30,3
5238,19,50,89,156,15,203,28,37,12,5,11,3,63,1
5250,193,26,3,50,39,109,36,11,3,5,5,3,77,1
5253,41,10,124,90,58,23,37,57,18,8,3,3,49,2
5256,34,100,45,94,52,179,10,14,6,18,5,1,58,2
5263,27,90,85,15,16,93,38,20,6,11,9,3,43,2
5287,25,219,7,117,31,123,23,59,15,8,5,4,54,2
5292,19,108,8,165,56,210,5,22,18,9,5,2,57,2
5293,10,220,97,69,69,156,15,93,2,10,4,2,69,1
5295,67,236,66,59,48,145,35,14,15,15,2,4,77,1
5299,13,192,32,92,31,176,39,40,18,7,5,5,55,2
5301,5,9,145,147,16,223,2,24,4,8,5,1,69,1
5324,27,48,174,196,61,94,10,48,4,10,5,3,79,1
5326,41,269,15,126,38,60,28,10,17,10,7,1,60,1
5356,84,62,19,185,65,171,25,94,11,10,8,2,72,1
5383,4,38,173,94,70,142,26,63,7,9,6,3,65,1
5396,46,68,141,147,62,22,30,27,8,13,4,1,67,1
5420,96,182,43,121,50,65,34,94,11,12,4,2,74,1
5431,44,51,6,21,50,102,28,30,17,9,3,3,32,3
5438,15,255,44,121,41,31,6,12,9,10,4,4,55,2
5462,34,34,113,48,17,136,9,76,7,9,4,1,54,2
5474,4,59,149,180,4,85,39,89,4,12,1,2,61,1
5501,25,139,160,123,8,98,29,51,8,8,5,5,74,1
5514,53,94,112,43,48,174,30,41,13,11,3,1,69,1
5520,417,42,119,69,33,280,15,66,5,5,6,2,100,4
5522,323,218,169,95,27,72,20,84,1,14,8,3,100,4
5523,229,49,133,42,33,64,4,42,3,11,3,1,100,2
5526,319,53,74,60,91,21,2,94,18,13,4,5,100,1
5527,40,257,29,64,9,181,26,49,11,9,11,2,67,2
5528,217,121,101,192,27,230,31,29,8,8,6,1,100,1
5529,146,119,91,117,10,34,33,90,11,12,2,2,87,2
5531,66,114,122,9,83,109,23,10,17,8,4,2,69,3
5532,345,261,157,21,61,82,1,19,10,11,4,2,100,4
5533,397,108,66,162,22,59,21,98,9,13,3,2,100,1
5534,81,285,166,124,87,59,34,13,18,10,3,1,100,1
5536,72,43,139,80,75,183,39,59,6,7,5,2,81,4
5537,438,53,58,107,84,206,31,26,18,10,7,4,100,2
5539,233,117,126,12,50,159,24,41,19,13,4,4,100,4
5540,53,1,117,119,37,285,28,34,1,16,5,4,80,4
5541,324,82,183,143,22,264,39,82,19,7,6,3,100,2
5544,313,40,133,55,59,263,20,38,4,11,6,3,100,3
5545,37,33,194,141,91,228,6,13,2,12,3,6,94,2
5546,56,276,166,152,35,101,38,14,1,11,3,1,100,3
5547,24,225,54,145,69,31,35,74,8,7,1,3,59,4
5548,128,176,85,164,64,204,18,20,4,6,5,1,100,3
5549,67,230,47,180,67,40,29,52,1,9,2,3,76,2
5555,355,125,62,80,46,201,8,89,3,11,3,1,100,2
5556,56,294,152,163,42,93,25,61,12,9,5,1,100,3
5557,367,104,166,25,36,206,10,95,13,9,6,2,100,1
5562,131,129,44,16,56,129,16,59,2,11,7,1,77,1
5572,410,206,29,18,27,165,39,67,15,5,5,2,100,3
5573,323,84,80,59,63,125,26,35,17,12,7,1,100,3
5574,323,144,20,185,31,55,13,83,6,12,6,1,100,2
5576,325,245,19,187,38,206,32,87,5,9,10,4,100,2
5577,491,296,158,198,91,297,32,24,6,6,4,2,100,2
5578,455,122,113,105,23,275,6,44,10,7,6,1,100,2
5579,219,3,144,57,57,204,14,20,8,10,7,1,100,3
5580,19,50,83,158,36,252,21,29,12,13,5,4,68,2
5582,413,183,19,50,56,186,37,90,12,14,2,6,100,3
5583,350,236,104,156,92,18,11,60,19,6,5,1,100,4
5584,229,76,102,86,10,212,8,39,14,15,4,3,100,3
5590,155,135,124,44,65,64,28,64,13,9,4,1,97,1
5592,33,126,138,152,29,80,9,40,14,13,6,3,73,1
5593,486,251,76,142,80,263,1,93,17,8,6,1,100,3
5594,180,177,26,132,52,29,26,97,4,11,6,1,94,4
5597,341,151,70,44,63,52,30,31,5,14,6,2,100,1
5598,331,119,6,54,19,47,35,43,19,13,3,3,100,4
5599,357,35,107,29,82,166,26,81,15,15,7,3,100,2
5604,19,91,113,114,23,173,34,13,9,9,10,2,65,1
5606,434,112,105,178,57,12,30,98,17,7,5,2,100,4
5609,229,211,122,140,39,45,30,97,17,10,8,1,100,3
5610,38,78,145,168,29,116,33,36,18,7,7,2,75,3
5611,335,282,152,107,71,106,36,46,11,10,7,1,100,4
5613,122,249,132,95,44,179,22,19,15,3,5,2,100,1
5621,455,293,45,28,77,146,10,94,12,5,6,3,100,2
5622,410,139,101,71,39,108,24,34,15,15,1,2,100,1
5624,24,152,1,113,82,129,1,48,14,5,6,3,50,2
5625,421,148,156,43,98,4,34,12,2,11,10,4,100,1
5628,273,235,36,109,59,45,19,59,11,11,1,2,100,3
5629,45,88,118,66,12,233,37,20,6,10,8,4,74,3
5630,378,163,85,126,72,82,31,59,4,8,3,1,100,3
5631,291,67,66,13,60,29,38,13,1,10,3,1,100,2
5634,92,249,4,12,44,10,37,37,19,6,4,2,55,3
5635,28,268,193,176,52,42,11,33,17,12,3,5,97,1
5636,293,124,161,28,39,97,7,50,17,11,8,5,100,2
5637,420,5,150,134,71,93,12,65,11,14,4,1,100,2
5638,8,258,152,78,87,240,30,27,1,17,3,2,93,4
5639,24,52,77,79,84,252,35,82,18,8,5,2,62,1
5641,409,7,77,99,1,37,13,10,10,14,3,2,100,3
5644,298,30,58,118,88,289,29,72,3,19,5,1,100,1
5645,137,127,110,152,19,2,12,25,7,9,4,3,91,2
5648,312,260,98,157,64,248,10,60,14,7,6,3,100,1
5649,290,71,171,189,41,18,27,26,17,15,5,1,100,2
5652,102,100,49,17,27,22,31,32,7,15,4,4,54,4
5654,63,9,103,82,20,47,6,53,7,12,6,3,53,4
5655,64,40,149,167,69,221,19,30,1,13,4,3,94,4
5658,481,257,75,3,40,113,9,48,5,8,3,3,100,1
5659,314,17,72,92,30,3,39,92,17,11,1,4,100,2
5660,92,64,78,180,51,77,21,89,4,10,6,4,76,3
5662,406,129,64,6,96,208,2,25,4,9,5,2,100,2
5672,320,173,112,131,27,146,3,78,3,11,8,3,100,4
5677,83,228,150,24,60,150,31,83,18,7,6,2,96,1
5678,356,144,86,43,54,282,15,60,3,6,8,1,100,1
5680,117,88,12,171,75,127,4,74,3,7,4,3,79,1
5681,247,124,17,190,77,2,38,83,9,22,3,2,100,1
5682,457,236,165,15,49,40,38,94,8,13,5,5,100,3
5691,78,202,101,2,55,143,18,61,1,9,5,3,80,2
5692,341,102,101,70,48,101,36,55,16,14,5,2,100,4
5696,223,48,179,178,10,196,4,75,3,10,1,1,100,3
5697,202,101,80,167,28,20,32,46,2,10,2,1,100,2
5698,492,100,77,50,70,234,12,94,6,3,6,1,100,4
5703,126,222,160,36,30,117,10,71,7,11,3,4,100,1
5705,132,112,53,79,89,77,19,23,8,9,6,2,80,2
5708,328,256,146,78,46,6,29,57,7,8,6,3,100,4
5710,84,5,33,178,58,95,22,50,14,12,4,3,61,3
5711,484,64,181,173,5,9,37,88,10,8,3,4,100,3
5713,472,171,197,44,30,94,10,36,18,10,4,1,100,4
5715,150,33,52,195,8,13,12,94,19,7,5,2,78,1
5720,52,25,158,85,34,298,27,78,6,20,4,3,88,2
5721,211,270,51,140,56,85,1,75,9,8,4,1,100,1
5722,397,37,88,170,61,216,32,22,5,12,4,1,100,2
5723,70,117,131,101,97,66,27,55,6,14,8,4,79,3
5727,48,178,22,187,76,102,19,20,15,7,8,2,68,1
5728,83,212,156,63,63,2,30,37,7,9,6,2,85,2
5730,410,36,131,143,2,157,2,55,17,10,4,2,100,4
5733,268,135,78,124,59,235,17,34,14,8,7,1,100,3
5735,341,152,45,33,90,146,5,72,13,17,4,5,100,1
5738,19,285,113,54,20,11,7,77,15,8,3,2,63,3
5741,284,243,38,166,81,79,12,26,4,7,4,4,100,2
5746,337,246,130,92,58,200,11,91,6,8,8,2,100,1
5747,489,36,43,119,96,112,1,44,6,9,2,1,100,3
5748,492,254,40,83,10,187,11,56,13,5,4,2,100,1
5749,343,124,64,32,12,299,6,76,11,13,4,2,100,3
5756,315,148,193,91,20,113,11,81,17,9,6,3,100,1
5758,218,226,144,31,33,298,6,49,5,11,5,1,100,4
5759,155,82,151,54,18,220,34,35,18,12,3,1,100,3
5763,87,234,154,70,66,261,31,34,3,10,8,1,100,4
5769,456,32,173,186,44,44,6,32,10,4,2,1,100,2
5771,360,268,156,145,19,270,2,79,13,12,8,2,100,1
5772,128,214,81,146,57,190,2,86,3,14,6,3,100,3
5775,187,124,127,98,14,202,8,55,9,10,3,2,100,1
5776,313,13,32,135,75,155,4,87,7,6,5,5,100,2
5777,73,235,196,29,32,264,32,28,14,13,7,2,100,2
5778,411,203,140,51,24,170,15,47,13,11,3,2,100,2
5781,202,100,152,99,27,133,36,90,19,9,5,1,100,2
5783,53,261,134,128,68,197,25,79,6,4,3,1,100,2
5784,8,239,58,97,34,262,37,41,15,10,7,4,73,3
5786,134,39,22,129,72,92,15,94,10,8,4,3,73,3
5788,499,196,48,68,46,58,9,71,19,9,5,1,100,4
5792,482,241,15,187,54,247,23,34,10,9,3,2,100,3
5793,457,113,183,86,19,76,11,85,6,14,4,2,100,2
5799,81,271,35,99,97,40,35,13,10,11,7,1,75,2
5803,407,7,4,91,22,164,26,49,19,14,6,2,100,3
5804,189,235,29,144,62,153,18,42,15,9,3,1,100,3
5805,44,96,5,86,3,283,11,34,12,13,4,1,59,1
5806,171,11,197,158,17,280,37,61,4,14,5,2,100,4
5807,490,275,55,132,29,108,34,21,6,8,6,2,100,3
5808,314,41,184,82,68,105,22,92,2,12,2,3,100,1
5809,208,165,199,100,87,166,36,25,10,6,2,3,100,4
